wage;educ;exper;metro
2.07;12;7;1
2.12;12;35;1
2.54;16;20;1
2.68;12;24;1
3.09;13;4;1
3.16;13;1;0
3.2;12;23;1
3.27;12;4;1
3.32;12;11;1
3.32;13;3;1
3.34;18;15;1
3.39;13;7;1
3.39;12;15;0
3.39;12;32;0
3.42;12;31;1
3.47;13;28;1
3.49;11;5;1
3.5;12;38;1
3.5;9;3;1
3.5;11;7;1
3.5;12;5;1
3.5;12;2;1
3.5;12;18;1
3.53;11;42;1
3.54;13;4;1
3.57;12;0;1
3.59;9;29;1
3.68;6;19;1
3.68;9;39;1
3.68;13;0;1
3.68;11;2;1
3.68;12;5;0
3.68;6;7;1
3.68;9;23;1
3.68;9;28;0
3.68;11;9;0
3.68;12;5;1
3.68;10;2;1
3.68;12;5;1
3.68;12;7;0
3.68;13;6;1
3.68;12;1;1
3.68;4;50;1
3.68;9;35;1
3.68;12;19;1
3.68;12;40;1
3.68;12;25;1
3.68;13;4;1
3.71;12;15;0
3.76;13;18;0
3.79;6;37;1
3.79;12;0;1
3.79;16;2;1
3.81;13;11;1
3.81;12;23;1
3.82;12;33;1
3.86;13;3;0
3.87;13;41;1
3.87;12;7;1
3.87;12;35;0
3.87;16;35;1
3.89;10;34;1
3.93;12;2;0
3.98;12;22;0
3.99;18;17;1
4.03;10;45;1
4.03;13;24;0
4.04;13;7;0
4.04;12;3;1
4.04;11;1;1
4.05;16;12;1
4.05;8;8;1
4.05;12;11;1
4.05;12;13;1
4.05;12;5;1
4.05;12;12;0
4.14;12;0;1
4.14;13;2;1
4.2;13;30;1
4.21;8;20;1
4.24;12;7;0
4.24;13;35;1
4.29;13;1;0
4.34;12;11;1
4.35;11;32;1
4.35;12;17;1
4.37;8;13;0
4.38;12;31;1
4.38;9;18;1
4.42;4;18;1
4.42;12;16;1
4.42;1;27;1
4.42;13;1;0
4.42;12;1;1
4.42;13;11;1
4.42;13;0;1
4.42;13;1;1
4.42;12;0;1
4.42;12;13;0
4.42;9;17;1
4.42;12;8;0
4.42;13;2;1
4.42;12;6;0
4.42;13;16;1
4.42;12;41;0
4.42;12;19;1
4.42;13;22;1
4.42;13;2;1
4.42;13;5;1
4.42;12;14;0
4.42;13;13;1
4.42;12;34;1
4.42;13;1;1
4.42;12;23;1
4.42;10;38;1
4.42;9;13;1
4.42;8;9;1
4.42;12;1;0
4.42;9;28;0
4.42;12;18;1
4.45;13;2;1
4.45;10;7;1
4.47;12;16;0
4.51;14;15;1
4.52;12;3;0
4.53;12;41;1
4.58;12;0;0
4.59;12;25;0
4.59;12;22;0
4.6;16;14;1
4.6;12;5;1
4.6;16;10;0
4.6;12;9;1
4.6;12;14;0
4.6;13;6;1
4.6;12;12;1
4.6;16;26;1
4.6;12;17;1
4.6;14;22;1
4.6;16;7;1
4.6;12;16;0
4.6;12;35;1
4.63;12;18;1
4.66;12;28;0
4.66;13;19;0
4.72;12;21;0
4.72;12;17;1
4.72;12;33;0
4.72;14;15;1
4.72;12;1;1
4.72;12;7;1
4.72;11;46;0
4.77;16;20;1
4.78;12;11;1
4.79;12;39;0
4.79;12;15;1
4.79;12;30;1
4.79;12;17;1
4.79;12;5;0
4.79;16;2;0
4.79;16;1;0
4.79;12;2;1
4.79;11;21;1
4.79;12;12;1
4.79;4;20;1
4.79;13;37;1
4.79;12;22;1
4.79;14;23;1
4.79;14;23;1
4.79;13;25;1
4.79;16;13;1
4.79;13;9;1
4.79;12;21;1
4.79;12;0;0
4.79;12;2;1
4.79;13;2;1
4.79;10;35;1
4.79;8;40;0
4.79;14;7;1
4.81;13;5;1
4.83;12;24;0
4.83;16;28;1
4.84;13;8;1
4.84;12;15;1
4.84;11;19;1
4.86;12;0;1
4.86;12;3;1
4.89;12;9;1
4.89;9;35;1
4.91;12;20;1
4.91;13;22;1
4.91;12;23;1
4.91;6;27;1
4.93;12;26;1
4.93;12;44;1
4.95;16;22;1
4.95;13;35;0
4.95;12;43;1
4.96;6;35;1
4.97;12;1;1
4.97;12;41;1
5.07;12;9;1
5.08;16;14;1
5.08;14;22;0
5.16;12;24;0
5.16;12;11;1
5.16;11;8;1
5.16;11;42;1
5.16;12;35;1
5.16;10;13;1
5.16;6;25;1
5.16;12;11;1
5.16;4;29;1
5.16;13;4;1
5.16;12;18;1
5.16;6;32;0
5.16;13;0;1
5.16;16;4;1
5.16;8;16;1
5.16;12;0;0
5.16;12;22;1
5.16;13;16;0
5.16;12;5;1
5.16;11;1;1
5.16;16;0;1
5.16;13;1;1
5.16;12;5;1
5.25;12;17;1
5.25;12;16;1
5.3;9;43;1
5.3;12;38;1
5.3;12;2;0
5.32;12;19;1
5.34;12;5;0
5.34;12;24;0
5.35;16;10;1
5.36;13;25;1
5.38;12;20;1
5.49;16;32;1
5.49;12;12;0
5.53;12;3;1
5.53;12;9;1
5.53;13;27;1
5.53;13;21;0
5.53;12;37;1
5.53;12;6;0
5.53;12;8;1
5.53;12;18;1
5.53;12;21;0
5.53;12;10;1
5.53;12;13;1
5.53;12;0;1
5.53;13;36;1
5.53;12;13;1
5.53;13;9;0
5.53;13;16;1
5.53;10;7;1
