"DATE","TIME PERIOD","Monetary aggregate M3 reported by MFIs, central gov. and post office giro institutions in the euro area (stocks) (BSI.M.U2.Y.V.M30.X.1.U2.2300.Z01.E)"
"1980-01-31","1980Jan","1097404"
"1980-02-29","1980Feb","1105520"
"1980-03-31","1980Mar","1117228"
"1980-04-30","1980Apr","1122639"
"1980-05-31","1980May","1130672"
"1980-06-30","1980Jun","1139157"
"1980-07-31","1980Jul","1150687"
"1980-08-31","1980Aug","1157482"
"1980-09-30","1980Sep","1164470"
"1980-10-31","1980Oct","1176441"
"1980-11-30","1980Nov","1192713"
"1980-12-31","1980Dec","1198927"
"1981-01-31","1981Jan","1209209"
"1981-02-28","1981Feb","1222048"
"1981-03-31","1981Mar","1233640"
"1981-04-30","1981Apr","1244293"
"1981-05-31","1981May","1257592"
"1981-06-30","1981Jun","1266536"
"1981-07-31","1981Jul","1275262"
"1981-08-31","1981Aug","1280121"
"1981-09-30","1981Sep","1293408"
"1981-10-31","1981Oct","1302173"
"1981-11-30","1981Nov","1313067"
"1981-12-31","1981Dec","1324037"
"1982-01-31","1982Jan","1338805"
"1982-02-28","1982Feb","1350759"
"1982-03-31","1982Mar","1366026"
"1982-04-30","1982Apr","1376835"
"1982-05-31","1982May","1385084"
"1982-06-30","1982Jun","1403542"
"1982-07-31","1982Jul","1414886"
"1982-08-31","1982Aug","1429591"
"1982-09-30","1982Sep","1440564"
"1982-10-31","1982Oct","1448567"
"1982-11-30","1982Nov","1461236"
"1982-12-31","1982Dec","1478452"
"1983-01-31","1983Jan","1488249"
"1983-02-28","1983Feb","1498226"
"1983-03-31","1983Mar","1505297"
"1983-04-30","1983Apr","1516179"
"1983-05-31","1983May","1527129"
"1983-06-30","1983Jun","1538465"
"1983-07-31","1983Jul","1550957"
"1983-08-31","1983Aug","1563091"
"1983-09-30","1983Sep","1569280"
"1983-10-31","1983Oct","1581495"
"1983-11-30","1983Nov","1595252"
"1983-12-31","1983Dec","1607971"
"1984-01-31","1984Jan","1616845"
"1984-02-29","1984Feb","1623473"
"1984-03-31","1984Mar","1633342"
"1984-04-30","1984Apr","1643658"
"1984-05-31","1984May","1659252"
"1984-06-30","1984Jun","1668177"
"1984-07-31","1984Jul","1681799"
"1984-08-31","1984Aug","1697027"
"1984-09-30","1984Sep","1711302"
"1984-10-31","1984Oct","1717983"
"1984-11-30","1984Nov","1729206"
"1984-12-31","1984Dec","1742791"
"1985-01-31","1985Jan","1758943"
"1985-02-28","1985Feb","1776558"
"1985-03-31","1985Mar","1788333"
"1985-04-30","1985Apr","1797511"
"1985-05-31","1985May","1804082"
"1985-06-30","1985Jun","1812216"
"1985-07-31","1985Jul","1823517"
"1985-08-31","1985Aug","1831278"
"1985-09-30","1985Sep","1840516"
"1985-10-31","1985Oct","1849577"
"1985-11-30","1985Nov","1856300"
"1985-12-31","1985Dec","1882118"
"1986-01-31","1986Jan","1891332"
"1986-02-28","1986Feb","1899853"
"1986-03-31","1986Mar","1919041"
"1986-04-30","1986Apr","1917327"
"1986-05-31","1986May","1927726"
"1986-06-30","1986Jun","1936535"
"1986-07-31","1986Jul","1950177"
"1986-08-31","1986Aug","1961502"
"1986-09-30","1986Sep","1976548"
"1986-10-31","1986Oct","1995452"
"1986-11-30","1986Nov","2004194"
"1986-12-31","1986Dec","2011545"
"1987-01-31","1987Jan","2026350"
"1987-02-28","1987Feb","2038106"
"1987-03-31","1987Mar","2053663"
"1987-04-30","1987Apr","2069485"
"1987-05-31","1987May","2084022"
"1987-06-30","1987Jun","2095216"
"1987-07-31","1987Jul","2109659"
"1987-08-31","1987Aug","2123852"
"1987-09-30","1987Sep","2137689"
"1987-10-31","1987Oct","2155101"
"1987-11-30","1987Nov","2168100"
"1987-12-31","1987Dec","2173838"
"1988-01-31","1988Jan","2186450"
"1988-02-29","1988Feb","2197901"
"1988-03-31","1988Mar","2210937"
"1988-04-30","1988Apr","2234863"
"1988-05-31","1988May","2252687"
"1988-06-30","1988Jun","2262415"
"1988-07-31","1988Jul","2280986"
"1988-08-31","1988Aug","2300792"
"1988-09-30","1988Sep","2315101"
"1988-10-31","1988Oct","2334535"
