"DATE","TIME PERIOD","Gross domestic product at market prices (MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.PE_R_POP.V._Z)"
"1995-12-31","1995","17927.30"
"1996-12-31","1996","18652.69"
"1997-12-31","1997","19069.85"
"1998-12-31","1998","19814.33"
"1999-12-31","1999","20671.06"
"2000-12-31","2000","21695.89"
"2001-12-31","2001","22653.83"
"2002-12-31","2002","23312.29"
"2003-12-31","2003","23862.55"
"2004-12-31","2004","24755.37"
"2005-12-31","2005","25509.17"
"2006-12-31","2006","26750.83"
"2007-12-31","2007","28091.96"
"2008-12-31","2008","28658.29"
"2009-12-31","2009","27531.94"
"2010-12-31","2010","28239.40"
"2011-12-31","2011","28946.55"
"2012-12-31","2012","28996.71"
"2013-12-31","2013","29241.43"
"2014-12-31","2014","29873.96"
"2015-12-31","2015","30826.20"
"2016-12-31","2016","31591.96"
"2017-12-31","2017","32717.35"
"2018-12-31","2018","33730.92"
"2019-12-31","2019","34755.70"
"2020-12-31","2020","33187.37"
"2021-12-31","2021","35945.11"
"2022-12-31","2022","38760.26"
